#pttsel1,3215
#pttsel2,4082
#pttsel3,4950
#pttsel4,5818
#pttsel5,6685
#pttsel6,7553
#pttsel7,8421
#pttsel8,9288
#pttsel9,10156
#pttsel10,11024
#pttsel11,11891
#pttsel12,12759
#pttsel13,13626
#pttsel14,14494
#pttsel15,15362
#pttsel16,16229
#pttsel17,17097
#pttsel18,17965
#pttsel19,18832
#pttsel20,20647
#pttsel21,21515
#pttsel22,22382
#pttsel23,23250
#pttsel24,24118
#pttsel25,24985
#pttsel26,25853
#pttsel27,26721
#pttsel28,27588
#pttsel29,28456
#pttsel30,29324
#pttsel31,30191
#pttsel32,31059
#pttsel33,31926
#pttsel34,32794
#pttsel35,33662
#pttsel36,34529
#pttsel37,35397
#pttsel38,36265
#pttsel39,37132
#pttsel40,38000
#pttsel41,38868
#pttsel42,39735
#pttsel43,40603
#pttsel44,41471
#pttsel45,42338
#pttsel46,43206
#pttsel47,44074
#pttsel48,44941
#pttsel49,45809
#pttsel50,47500
#pttsel51,48368
#pttsel52,49235
#pttsel53,50103
#pttsel54,50971
#pttsel55,51838
#pttsel56,52706
#pttsel57,53574
#pttsel58,54441
#pttsel59,55309
#pttsel60,56176
#pttsel61,57044
#pttsel62,57912
#pttsel63,58779
#pttsel64,59647
#pttsel65,60515
#pttsel66,61382
#pttsel67,62250
#pttsel68,63118
#pttsel69,63985
#pttsel70,64853
#pttsel71,65721
#pttsel72,66588
#pttsel73,67456
#pttsel74,68324
#pttsel75,69191
#pttsel76,70059
#pttsel77,70926
#pttsel78,71794
#pttsel79,72662
#pttsel80,73529
#pttsel81,74397
#pttsel82,75265
#pttsel83,76132
#pttsel84,77000
#pttsel85,77868
#pttsel86,78735
#pttsel87,79603
#pttsel88,80471
#pttsel89,81338
#pttsel90,82206
#pttsel91,83074
#pttsel92,83941
#pttsel93,84809
#pttsel94,85676
#pttsel95,86544
#pttsel96,87412
#pttsel97,88279
#pttsel98,89147
#pttsel99,90015
#pttsel100,93765
#pttsel101,94632
#pttsel102,95500
#pttsel103,96368
#pttsel104,97235
#pttsel105,98103
#pttsel106,98971
#pttsel107,99838
#pttsel108,100706
#pttsel109,101574
#pttsel110,102441
#pttsel111,103309
#pttsel112,104176
#pttsel113,105044
#pttsel114,105912
#pttsel115,106779
#pttsel116,107647
#pttsel117,108515
#pttsel118,109382
#pttsel119,110250
#pttsel120,111118
#pttsel121,111985
#pttsel122,112853
#pttsel123,113721
#pttsel124,114588
#pttsel125,115456
#pttsel126,116324
#pttsel127,117191
#pttsel128,118059
#pttsel129,118926
#pttsel130,119794
#pttsel131,120662
#pttsel132,121529
#pttsel133,122397
#pttsel134,123265
#pttsel135,124132
#pttsel136,125000
#pttsel137,125868
#pttsel138,126735
#pttsel139,127603
#pttsel140,128471
#pttsel141,129338
#pttsel142,130206
#pttsel143,131074
#pttsel144,131941
#pttsel145,132809
#pttsel146,133676
#pttsel147,134544
#pttsel148,135412
#pttsel149,136279
#pttsel150,137147
#pttsel151,138015
#pttsel152,138882
#pttsel153,139750
